Time,mAmpere,mAmpereInt,Analog_A0,ValueA0Virtual,mAmpere3Raw,mAmpere4
2023-01-22 17:48:03,,0.0,,538.0,,
2023-01-22 17:48:02,,0.0,,538.0,,
2023-01-22 17:48:00,,0.0,,540.0,,
2023-01-22 17:47:59,,0.0,,538.0,,
2023-01-22 17:47:57,,0.0,,540.0,,
2023-01-22 17:47:56,,0.0,,538.0,,
2023-01-22 17:47:54,,0.0,,540.0,,
2023-01-22 17:47:53,,0.0,,540.0,,
2023-01-22 17:47:52,,,,540.0,,
2023-01-22 17:47:51,,0.0,,,,
2023-01-22 17:47:50,,0.0,,540.0,,
2023-01-22 17:47:49,,0.0,,540.0,,
2023-01-22 17:47:47,,0.0,,538.0,,
2023-01-22 17:47:46,,0.0,,538.0,,
2023-01-22 17:47:45,,0.0,,541.0,,
2023-01-22 17:47:43,,0.0,,540.0,,
2023-01-22 17:47:42,,0.0,,538.0,,
2023-01-22 17:47:41,,0.0,,540.0,,
2023-01-22 17:47:39,,0.0,,540.0,,
2023-01-22 17:47:38,,0.0,,540.0,,
2023-01-22 17:47:36,,0.0,,538.0,,
2023-01-22 17:47:35,,0.0,,538.0,,
2023-01-22 17:47:33,,0.0,,540.0,,
2023-01-22 17:47:32,,0.0,,538.0,,
2023-01-22 17:47:30,,0.0,,540.0,,
2023-01-22 17:47:29,,0.0,,538.0,,
2023-01-22 17:47:28,,0.0,,538.0,,
2023-01-22 17:47:26,,0.0,,540.0,,
2023-01-22 17:47:25,,0.0,,540.0,,
2023-01-22 17:47:23,,0.0,,538.0,,
2023-01-22 17:47:22,,0.0,,540.0,,
2023-01-22 17:47:20,,0.0,,540.0,,
2023-01-22 17:47:19,,0.0,,540.0,,
2023-01-22 17:47:18,,0.0,,538.0,,
2023-01-22 17:47:16,,0.0,,540.0,,
2023-01-22 17:47:15,,0.0,,540.0,,
2023-01-22 17:47:13,,0.0,,540.0,,
2023-01-22 17:47:12,,0.0,,540.0,,
2023-01-22 17:47:10,,0.0,,540.0,,
2023-01-22 17:47:09,,0.0,,540.0,,
2023-01-22 17:47:08,,0.0,,538.0,,
2023-01-22 17:47:06,,0.0,,540.0,,
2023-01-22 17:47:05,,0.0,,540.0,,
2023-01-22 17:47:03,,0.0,,540.0,,
2023-01-22 17:47:02,,0.0,,538.0,,
2023-01-22 17:47:01,,,,540.0,,
2023-01-22 17:47:00,,0.0,,,,
2023-01-22 17:46:59,,0.0,,540.0,,
2023-01-22 17:46:58,,0.0,,540.0,,
2023-01-22 17:46:56,,0.0,,540.0,,
2023-01-22 17:46:55,,0.0,,538.0,,
2023-01-22 17:46:53,,0.0,,540.0,,
2023-01-22 17:46:52,,0.0,,540.0,,
2023-01-22 17:46:51,,0.0,,541.0,,
2023-01-22 17:46:49,,0.0,,540.0,,
2023-01-22 17:46:48,,0.0,,540.0,,
2023-01-22 17:46:46,,0.0,,538.0,,
2023-01-22 17:46:45,,0.0,,538.0,,
2023-01-22 17:46:43,,0.0,,540.0,,
2023-01-22 17:46:42,,0.0,,538.0,,
2023-01-22 17:46:41,,0.0,,538.0,,
2023-01-22 17:46:40,,0.0,,538.0,,
2023-01-22 17:46:38,,0.0,,538.0,,
2023-01-22 17:46:37,,0.0,,540.0,,
2023-01-22 17:46:35,,0.0,,540.0,,
2023-01-22 17:46:34,,0.0,,540.0,,
2023-01-22 17:46:33,,,,540.0,,
2023-01-22 17:46:32,,0.0,,,,
2023-01-22 17:46:31,,0.0,,540.0,,
2023-01-22 17:46:30,,0.0,,538.0,,
2023-01-22 17:46:28,,0.0,,540.0,,
2023-01-22 17:46:27,,0.0,,538.0,,
2023-01-22 17:46:25,,0.0,,540.0,,
2023-01-22 17:46:24,,0.0,,538.0,,
2023-01-22 17:46:22,,0.0,,538.0,,
2023-01-22 17:46:21,,0.0,,540.0,,
2023-01-22 17:46:19,,0.0,,538.0,,
2023-01-22 17:46:18,,0.0,,538.0,,
2023-01-22 17:46:17,,0.0,,538.0,,
2023-01-22 17:46:15,,0.0,,540.0,,
2023-01-22 17:46:14,,0.0,,538.0,,
2023-01-22 17:46:12,,0.0,,540.0,,
2023-01-22 17:46:11,,0.0,,540.0,,
2023-01-22 17:46:09,,0.0,,540.0,,
2023-01-22 17:46:08,,0.0,,540.0,,
2023-01-22 17:46:06,,0.0,,538.0,,
2023-01-22 17:46:05,,0.0,,540.0,,
2023-01-22 17:46:04,,0.0,,538.0,,
2023-01-22 17:46:02,,0.0,,538.0,,
2023-01-22 17:46:01,,0.0,,540.0,,
2023-01-22 17:46:00,,0.0,,538.0,,
2023-01-22 17:45:58,,0.0,,540.0,,
2023-01-22 17:45:57,,0.0,,540.0,,
2023-01-22 17:45:55,,0.0,,540.0,,
2023-01-22 17:45:54,,0.0,,540.0,,
2023-01-22 17:45:53,,0.0,,540.0,,
2023-01-22 17:45:51,,0.0,,540.0,,
2023-01-22 17:45:50,,0.0,,540.0,,
2023-01-22 17:45:48,,0.0,,540.0,,
2023-01-22 17:45:47,,0.0,,540.0,,
2023-01-22 17:45:45,,0.0,,540.0,,
2023-01-22 17:45:44,,0.0,,538.0,,
2023-01-22 17:45:42,,0.0,,540.0,,
2023-01-22 17:45:41,,0.0,,538.0,,
2023-01-22 17:45:39,,0.0,,540.0,,
2023-01-22 17:45:38,,0.0,,540.0,,
2023-01-22 17:45:37,,0.0,,540.0,,
2023-01-22 17:45:35,,0.0,,538.0,,
2023-01-22 17:45:34,,0.0,,538.0,,
2023-01-22 17:45:32,,0.0,,538.0,,
2023-01-22 17:45:31,,0.0,,538.0,,
2023-01-22 17:45:29,,0.0,,540.0,,
2023-01-22 17:45:28,,0.0,,538.0,,
2023-01-22 17:45:27,,0.0,,538.0,,
2023-01-22 17:45:25,,0.0,,540.0,,
2023-01-22 17:45:24,,0.0,,540.0,,
2023-01-22 17:45:23,,0.0,,538.0,,
2023-01-22 17:45:21,,0.0,,540.0,,
2023-01-22 17:45:20,,0.0,,538.0,,
2023-01-22 17:45:18,,0.0,,540.0,,
2023-01-22 17:45:17,,0.0,,540.0,,
2023-01-22 17:45:15,,0.0,,540.0,,
2023-01-22 17:45:14,,0.0,,540.0,,
2023-01-22 17:45:13,,0.0,,540.0,,
2023-01-22 17:45:11,,0.0,,538.0,,
2023-01-22 17:45:10,,0.0,,537.0,,
2023-01-22 17:45:08,,0.0,,538.0,,
2023-01-22 17:45:07,,0.0,,538.0,,
2023-01-22 17:45:05,,0.0,,538.0,,
2023-01-22 17:45:04,,0.0,,538.0,,
2023-01-22 17:45:03,,0.0,,540.0,,
2023-01-22 17:45:01,,0.0,,538.0,,
2023-01-22 17:45:00,,0.0,,538.0,,
2023-01-22 17:44:58,,0.0,,540.0,,
2023-01-22 17:44:57,,0.0,,540.0,,
2023-01-22 17:44:56,,0.0,,538.0,,
2023-01-22 17:44:54,,0.0,,540.0,,
2023-01-22 17:44:53,,0.0,,538.0,,
2023-01-22 17:44:51,,0.0,,540.0,,
2023-01-22 17:44:50,,0.0,,538.0,,
2023-01-22 17:44:48,,0.0,,538.0,,
2023-01-22 17:44:47,,0.0,,540.0,,
2023-01-22 17:44:46,,0.0,,540.0,,
2023-01-22 17:44:44,,0.0,,538.0,,
2023-01-22 17:44:43,,0.0,,538.0,,
2023-01-22 17:44:41,,0.0,,538.0,,
2023-01-22 17:44:40,,0.0,,540.0,,
2023-01-22 17:44:38,,0.0,,538.0,,
2023-01-22 17:44:37,,0.0,,540.0,,
2023-01-22 17:44:36,,0.0,,540.0,,
2023-01-22 17:44:34,,0.0,,540.0,,
2023-01-22 17:44:33,,0.0,,538.0,,
2023-01-22 17:44:31,,0.0,,540.0,,
2023-01-22 17:44:30,,0.0,,540.0,,
2023-01-22 17:44:28,,0.0,,540.0,,
2023-01-22 17:44:27,,0.0,,540.0,,
2023-01-22 17:44:26,,0.0,,538.0,,
2023-01-22 17:44:24,,0.0,,540.0,,
2023-01-22 17:44:23,,0.0,,540.0,,
2023-01-22 17:44:21,,0.0,,540.0,,
2023-01-22 17:44:20,,0.0,,540.0,,
